group_id;link;screen_name;name
138057800;https://vk.com/club138057800;welltex_bryansk;Веллтекс Брянск
212301402;https://vk.com/club212301402;welltexvladivostok;Веллтекс Владивосток
211564060;https://vk.com/club211564060;welltex_vladimir;Веллтекс Владимир
212601423;https://vk.com/club212601423;wellmart_krasnodar;Веллмарт Краснодар
88690011;https://vk.com/club88690011;wellmartcompany;ВеллМарт
212092097;https://vk.com/club212092097;wellmartpyatigorsk;Веллмарт Пятигорск
143442883;https://vk.com/club143442883;well_market;Веллмарт СПб — все для швейного производства
212606612;https://vk.com/club212606612;welltex_volgograd34;Веллтекс Волгоград
211730367;https://vk.com/club211730367;welltex36;ВЕЛЛТЕКС | ВСЕ ДЛЯ ШВЕЙНОГО ПРОИЗВОДСТВА
212308968;https://vk.com/club212308968;welltex_ekaterinburg;Веллтекс Екатеринбург
211036901;https://vk.com/club211036901;welltex_ivanovo;Веллтекс Иваново
104702032;https://vk.com/club104702032;welltex_izhevsk;Веллтекс - Всё для швейного производства. Ижевск
212301674;https://vk.com/club212301674;welltexirkutsk;Веллтекс Иркутск
212212679;https://vk.com/club212212679;welltex_kazan_official;Веллтекс Казань
212803257;https://vk.com/club212803257;welltex__kaluga;Веллтекс Калуга
211285344;https://vk.com/club211285344;welltex_kemerovo;Веллтекс Кемерово
210653049;https://vk.com/club210653049;welltex_kirov;Веллтекс Киров
207665254;https://vk.com/club207665254;welltexkos44;Веллтекс Кострома
187829594;https://vk.com/club187829594;welltexkrsk;Веллтекс Красноярск
213805744;https://vk.com/club213805744;welltexlipetsk;Веллтекс Липецк Швейное оборудование и фурнитура
22564985;https://vk.com/club22564985;welltex;Веллтекс  Москва
212301576;https://vk.com/club212301576;welltexnnovgorod;Веллтекс Нижний Новгород
211754589;https://vk.com/club211754589;welltex_ntagil;Веллтекс Тагил
191955743;https://vk.com/club191955743;welltex_nvkz;Веллтекс*Welltex*Новокузнецк*Фурнитура*Ткани
212622649;https://vk.com/club212622649;welltex_nsk;Веллтекс Новосибирск
211584444;https://vk.com/club211584444;welltex_omsk;Веллтекс Омск
211702375;https://vk.com/club211702375;weltex_orel;Веллтекс  Орёл
212200447;https://vk.com/club212200447;welltex_oren;Веллтекс Оренбург
212660472;https://vk.com/club212660472;welltexosetia;Веллтекс Осетия
145456773;https://vk.com/club145456773;welltex_perm;Веллтекс Пермь
212468145;https://vk.com/club212468145;welltex_rostov;Веллтекс Ростов
205740620;https://vk.com/club205740620;welltex_ryazan;Веллтекс Рязань
212921045;https://vk.com/club212921045;welltex_samara;Веллтекс Самара
212629186;https://vk.com/club212629186;welltex_saratov;Веллтекс Саратов
213083584;https://vk.com/club213083584;club213083584;Веллтекс Смоленск
213688793;https://vk.com/club213688793;welltexstoskol;Веллтекс Старый Оскол
139781126;https://vk.com/club139781126;welltex_tambov;ВЕЛЛТЕКС Тамбов
212923965;https://vk.com/club212923965;welltex_tomsk;Веллтекс Томск
211386387;https://vk.com/club211386387;welltex_tula;ВЕЛЛТЕКС ТУЛА
43902525;https://vk.com/club43902525;welltex_tmn;Веллтекс - швейная фурнитура и оборудование
214369850;https://vk.com/club214369850;welltex_ul;Веллтекс Ульяновск
65034354;https://vk.com/club65034354;welltexufa;Веллтекс Уфа
212556062;https://vk.com/club212556062;welltex_cheb;Веллтекс Чебоксары
211240901;https://vk.com/club211240901;welltex_chelyabinsk;Веллтекс - Челябинск
207810649;https://vk.com/club207810649;welltex_yaroslavl;Welltex_yaroslavl
